Booking ID,Date,Time,Customer ID,Vehicle Type,Pickup Location,Drop Location,Payment Method,Request Hour,Traffic Level,Weather Condition,Booking Platform
"""CNR8906825""",2024-10-21,17:17:25,"""CID2610914""",Premier Sedan,Central Secretariat,Inderlok,UPI,17,High,Storm,App
"""CNR3221338""",2024-07-01,10:51:16,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,UPI,10,High,Rain,App
"""CNR2806943""",2024-08-08,06:34:38,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,Credit Card,6,Low,Clear,Web
"""CNR4499383""",2024-04-12,19:42:35,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,null,19,High,,App
"""CNR2877692""",2024-02-04,18:08:04,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,Uber Wallet,18,Medium,Clear,App
"""CNR7401001""",2024-10-02,03:10:35,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,UPI,3,Low,Rain,Web
"""CNR4130953""",2024-02-12,19:42:39,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,Debit Card,19,Low,Clear,App
"""CNR9773309""",2024-04-11,15:43:34,"""CID9965847""",Uber XL,Anand Vihar ISBT,Dwarka Sector 21,null,15,Low,,App
"""CNR2107544""",2024-06-01,10:03:27,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,Credit Card,10,Medium,Rain,App
" ""CNR4171959""",2024-05-09,10:44:30," ""CID8470723""",Premier Sedan ,Lajpat Nagar,Ramesh Nagar ,,10,High,NA ,App
"""CNR5316307""",2024-07-30,12:02:26,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,Cash,12,Medium,Clear,App
"""CNR4660896""",2024-03-08,09:28:38,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,null,9,Medium,,App
"""CNR2513330""",2024-03-20,09:59:11,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,null,9,Medium,,App
"""CNR4611314""",2024-09-05,07:44:18,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,UPI,7,Medium,Clear,App
"""CNR5793527""",2024-08-15,18:40:03,"""CID5705499""",Premier Sedan,Anand Vihar ISBT,Rohini , null,N/A,,,App
"""CNR4487090""",2024-02-10,09:17:39,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,UPI,9,High,Rain,Web
"""CNR5266935""",2024-09-26,11:33:51,"""CID2831708""",Premier Sedan,Bahadurgarh,Pataudi Chowk,null,11,Low,,App
"""CNR3126177""",2024-07-10,02:23:12,"""CID1851430""",Premier Sedan,Munirka,Saidulajab,UPI,2,Low,Rain,App
"""CNR5822542"" ",21-May-2024,17:36,"""CID1628370""",Uber XL,Madipur, DLF City Court,,17 ,,,App 
"""CNR2598306""",26-Mar-2024,6:48 PM,"""CID5704025""",Premier Sedan, Chhatarpur,Badshahpur ,NA ,N/A,,NA , Web
"""CNR9935095""",2024-06-24,18:46:34,"""CID7359331""",Uber XL,Kherki Daula Toll,Nawada,Cash,18,High,Clear,App
"""CNR8504461""",2024-12-26,16:16:56,"""CID3984123""",Premier Sedan,Malviya Nagar,Chanakyapuri,Cash,16,Medium,Clear,App
"""CNR4092218""",2024-07-29,12:28:32,"""CID5726360""",Premier Sedan,Tughlakabad,Meerut,Cash,12,High,Rain,App
"""CNR1980045""",2024-11-20,16:42:58,"""CID9418411""",Premier Sedan,Ramesh Nagar,Greater Kailash,UPI,16,Medium,Clear,App
"""CNR1903168""",2024-08-01,06:16:08,"""CID1051794""",Premier Sedan,Maidan Garhi,Samaypur Badli,UPI,6,Low,Clear,App
"""CNR2922907""",2024-05-02,19:16:35,"""CID4507250""",Premier Sedan,Barakhamba Road,Noida Film City,UPI,19,Medium,Clear,Web
"""CNR7621341""",2024-08-27,06:04:30,"""CID1429306""",Uber XL,Kashmere Gate,Jor Bagh,UPI,6,Low,Storm,App
"""CNR4617937""",2024-06-20,07:14:32,"""CID7348314""",Premier Sedan,Sultanpur,Delhi Gate,Credit Card,7,High,Clear,App
"""CNR5517193""",2024-03-02,22:28:52,"""CID9143442""",Uber XL,Malviya Nagar,Sohna Road,Cash,22,Medium,Rain,Web
"""CNR1867567""",2024-12-17,19:11:24,"""CID6010303""",Premier Sedan,Qutub Minar,Ghitorni,UPI,19,Medium,Rain,App
"""CNR3708287""",2024-11-16,19:05:30,"""CID2958217""",Uber XL,Aya Nagar,Meerut,Uber Wallet,19,Low,Clear,App
"""CNR9301716""",2024-12-05,07:56:34,"""CID4647277""",Premier Sedan,Greater Kailash,Green Park,Cash,7,High,Clear,App
"""CNR6092310""",2024-07-02,15:25:18,"""CID4998701""",Premier Sedan,Bahadurgarh,Uttam Nagar,null,15,High,,App
"""CNR7054338""",2024-04-10,19:13:34,"""CID5302286""",Premier Sedan,Samaypur Badli,IGNOU Road,UPI,19,Medium,Clear,Phone
"""CNR1155206""",2024-03-03,13:48:25,"""CID3865002""",Uber XL,IMT Manesar,Lok Kalyan Marg,UPI,13,Medium,Clear,App
"""CNR8037805""",2024-04-04,08:50:10,"""CID2099192""",Premier Sedan,Rajiv Chowk,Okhla,Uber Wallet,8,High,Rain,Web
"""CNR3712135""",2024-04-28,07:28:54,"""CID7174383""",Premier Sedan,Jhilmil,Malviya Nagar,Uber Wallet,7,High,Storm,App
"""CNR3805926""",2024-04-03,19:47:28,"""CID1837528""",Premier Sedan,ITO,Noida Film City,Cash,19,High,Rain,Web
"""CNR2775291""",2024-08-17,18:35:05,"""CID9116623""",Premier Sedan,Jahangirpuri,Indirapuram,Cash,18,Medium,Clear,Web
"""CNR6577172""",2024-12-06,16:09:31,"""CID5963264""",Premier Sedan,Preet Vihar,Mehrauli,Uber Wallet,16,Low,Clear,App
"""CNR8084453""",2024-04-10,11:34:22,"""CID5057901""",Premier Sedan,Vatika Chowk,Saidulajab,Cash,11,Medium,Storm,Web
"""CNR3899180""",2024-03-21,01:29:50,"""CID3915373""",Premier Sedan,Panchsheel Park,Yamuna Bank,UPI,1,High,Fog,App
