Booking ID,Booking Status,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
"""CNR8906825""",Completed,13.1,28.5,null,null,null,null,null,null,416,34.02,4.6,5.0
"""CNR3221338""",Completed,5.6,27.5,null,null,null,null,null,null,401,21.97,4.9,4.3
"""CNR2806943""",Completed,5.1,20.7,null,null,null,null,null,null,495,10.23,3.8,4.2
"""CNR4499383""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR2877692""",Completed,11.5,20.5,null,null,null,null,null,null,656,6.39,5.0,4.9
"""CNR7401001""",Completed,6.6,30.0,null,null,null,null,null,null,186,10.28,4.4,4.6
"""CNR4130953""",Incomplete,6.4,10.5,null,null,null,null,1,Other Issue,966,18.3,null,null
"""CNR9773309""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR2107544""",Completed,11.4,42.1,null,null,null,null,null,null,125,25.16,4.3,5.0
"""CNR4171959""",Cancelled by Driver,-6.3,null,-1,null, 1,Customer related issue,null,null,-1,-1,null ,null 
"""CNR5316307""",Completed,12.4,21.5,null,null,null,null,null,null,375,48.85,3.3,3.3
"""CNR4660896""",Cancelled by Driver,5.8,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR2513330""",Cancelled by Driver,6.7,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR4611314""",Completed,5.0,34.7,null,null,null,null,null,null,512,35.66,3.7,4.9
"""CNR5793527""",Cancelled by Driver,3.2 ,null,null, null,1 , Personal & Car related issues,null,null , null,null,null, null
"""CNR4487090""",Completed,9.6,39.1,null,null,null,null,null,null,1390,21.79,5.0,4.9
"""CNR5266935""",Cancelled by Driver,3.9,null,null,null,1,More than permitted people in there,null,null,null,null,null,null
"""CNR3126177""",Completed,10.9,43.6,null,null,null,null,null,null,696,30.9,4.7,3.7
"""CNR5822542""",No Driver Found, null,null, null,null,null,,null ,null,NaN,null,null,null
"""CNR2598306""",Cancelled by Customer,14.4, null,1,AC is not working,null,,null, null,NaN,null,null , null
"""CNR9935095""",Incomplete,3.2,21.9,null,null,null,null,1,Other Issue,544,3.37,null,null
"""CNR8504461""",Completed,8.3,43.7,null,null,null,null,null,null,234,42.5,3.7,4.9
"""CNR4092218""",Completed,5.9,15.5,null,null,null,null,null,null,724,14.0,4.1,4.2
"""CNR1980045""",Completed,2.9,39.3,null,null,null,null,null,null,134,49.26,4.1,4.9
"""CNR1903168""",Completed,3.6,26.5,null,null,null,null,null,null,513,49.5,4.3,4.9
"""CNR2922907""",Completed,5.8,38.9,null,null,null,null,null,null,635,37.37,4.3,4.6
"""CNR7621341""",Completed,6.9,17.0,null,null,null,null,null,null,242,35.38,4.4,4.9
"""CNR4617937""",Completed,6.7,33.5,null,null,null,null,null,null,500,20.41,4.3,4.7
"""CNR5517193""",Completed,6.0,26.6,null,null,null,null,null,null,81,5.59,4.9,4.2
"""CNR1867567""",Incomplete,7.2,18.4,null,null,null,null,1,Customer Demand,635,6.57,null,null
"""CNR3708287""",Completed,2.7,25.8,null,null,null,null,null,null,1179,18.87,4.9,4.6
"""CNR9301716""",Completed,6.3,34.1,null,null,null,null,null,null,475,42.26,4.3,4.2
"""CNR6092310""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR7054338""",Completed,11.0,40.0,null,null,null,null,null,null,363,31.36,4.2,4.3
"""CNR1155206""",Incomplete,4.1,19.7,null,null,null,null,1,Other Issue,110,14.46,null,null
"""CNR8037805""",Completed,5.2,23.1,null,null,null,null,null,null,264,46.07,4.3,3.1
"""CNR3712135""",Completed,11.4,42.6,null,null,null,null,null,null,74,48.45,4.1,3.9
"""CNR3805926""",Completed,10.8,33.7,null,null,null,null,null,null,191,44.48,3.8,4.9
"""CNR2775291""",Incomplete,2.9,18.0,null,null,null,null,1,Other Issue,713,14.65,null,null
"""CNR6577172""",Incomplete,3.6,27.7,null,null,null,null,1,Other Issue,627,3.74,null,null
"""CNR8084453""",Completed,12.8,36.8,null,null,null,null,null,null,669,39.51,3.6,4.2
"""CNR3899180""",Completed,2.3,33.8,null,null,null,null,null,null,771,36.7,3.5,4.6
"""CNR2415257""",Completed,12.4,21.6,null,null,null,null,null,null,788,4.26,4.2,4.5
"""CNR5503992""",Completed,3.1,44.8,null,null,null,null,null,null,355,4.08,4.7,3.1
"""CNR7438691""",Completed,4.7,34.8,null,null,null,null,null,null,509,4.01,4.3,4.9
"""CNR8400555""",Completed,11.3,44.8,null,null,null,null,null,null,309,42.82,4.3,4.7
"""CNR1884447""",Completed,2.1,23.1,null,null,null,null,null,null,647,48.8,4.4,4.3
"""CNR4238002""",Completed,2.9,44.7,null,null,null,null,null,null,342,27.62,4.6,4.5
"""CNR9513281""",No Driver Found,null,null,null,null,null,null,null,null,null,null,null,null
"""CNR4249572""",Completed,4.7,15.6,null,null,null,null,null,null,504,24.06,4.7,5.0
"""CNR3316127""",Completed,15.0,29.1,null,null,null,null,null,null,824,24.98,4.4,4.2
"""CNR5001450""",Completed,12.5,15.4,null,null,null,null,null,null,478,10.78,3.9,4.9
"""CNR4239039""",Cancelled by Customer,14.9,null,1,AC is not working,null,null,null,null,null,null,null,null
"""CNR3942728""",Completed,2.9,38.3,null,null,null,null,null,null,156,36.13,4.3,4.3
"""CNR4811296""",Completed,4.8,44.8,null,null,null,null,null,null,176,49.18,3.1,4.6
"""CNR2290384""",Completed,14.8,40.4,null,null,null,null,null,null,221,15.3,4.1,4.5
"""CNR2229358""",Cancelled by Customer,6.1,null,1,Wrong Address,null,null,null,null,null,null,null,null
"""CNR7286285""",Completed,9.1,21.7,null,null,null,null,null,null,582,27.22,3.5,4.3
"""CNR9394835""",Completed,14.3,35.2,null,null,null,null,null,null,96,10.63,4.7,4.5
"""CNR7534075""",Completed, 13.4,40.0 ,-1,null,null, NA,-1,null,373,12.73 ,-4.6,-4.2
"""CNR8081487""",Completed,7.4,20.6,null,null,null,null,null,null,1563,8.86,4.7,4.6
"""CNR9154108""",Completed,4.3,33.1,null,null,null,null,null,null,480,40.38,4.2,3.7
"""CNR3578899""",Completed,11.6,32.0,null,null,null,null,null,null,493,33.8,4.9,4.2
"""CNR2939495""",Completed,14.5,40.4,null,null,null,null,null,null,304,13.99,4.8,4.5
"""CNR5994760""",Completed,6.1,29.0,null,null,null,null,null,null,358,24.56,3.6,3.8
"""CNR8726920""",Cancelled by Customer,6.3,null,1,Wrong Address,null,null,null,null,null,null,null,null
"""CNR8525908""",Cancelled by Driver,7.6,null,null,null,1,Customer related issue,null,null,null,null,null,null
"""CNR5804680""",Completed,7.4,28.7,null,null,null,null,null,null,420,4.5,4.6,4.2
"""CNR3635060""",Completed,8.7,19.4,null,null,null,null,null,null,510,9.87,4.9,4.9
"""CNR4225693""",Completed,4.5,15.1,null,null,null,null,null,null,158,41.88,3.0,4.8
"""CNR1872680""",Completed,9.4,20.6,null,null,null,null,null,null,777,15.11,4.1,4.4
"""CNR7044315""",Completed,12.0,38.0,null,null,null,null,null,null,443,45.58,4.6,4.6
"""CNR8024437""",Cancelled by Driver,5.6,null,null,null,1,The customer was coughing/sick,null,null,null,null,null,null
"""CNR6221378""",Completed,14.9,15.0,null,null,null,null,null,null,533,28.23,3.4,4.6
"""CNR9154449""",Completed,13.3,30.8,null,null,null,null,null,null,884,14.57,4.3,4.7
"""CNR5161112""",Completed,11.7,30.7,null,null,null,null,null,null,675,10.62,4.2,4.1
"""CNR5206507""",Completed,3.9,25.2,1,null,null,null, null, null,407,19.99,3.7 ,4.9
"""CNR6561675""",Completed,14.9,25.8,null,null,null,null,null,null,219,12.04,3.7,4.3
"""CNR8192504""",Completed,5.9,26.5,null,null,null,null,null,null,160,5.52,4.4,4.1
